"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P4","HDR2X8","48.057mm","70.053mm","39.167mm","68.783mm","39.167mm","68.783mm","T","90","Header 8X2"
"P3","HDR2X8","48.057mm","34.493mm","39.167mm","33.223mm","39.167mm","33.223mm","T","90","Header 8X2"
"C101","C1210","28.626mm","48.793mm","28.626mm","48.793mm","28.626mm","50.268mm","T","270","Cap"
"C102","C0603","27.737mm","44.475mm","27.737mm","44.475mm","27.737mm","43.705mm","T","90","Cap"
"C103","C0603","35.23mm","49.174mm","35.23mm","49.174mm","35.23mm","48.404mm","T","90","Cap"
"C104","C0603","28.499mm","56.159mm","28.499mm","56.159mm","27.729mm","56.159mm","T","360","Cap"
"C105","C1210","33.706mm","52.73mm","33.706mm","52.73mm","32.231mm","52.73mm","T","360","Cap"
"L101","L06063","33.071mm","42.443mm","33.071mm","42.443mm","30.071mm","42.443mm","T","360","Inductor Iron"
"R101","R0603","28.499mm","54.381mm","28.499mm","54.381mm","29.269mm","54.381mm","T","180","Res"
"R102","R0603","28.499mm","52.603mm","28.499mm","52.603mm","27.729mm","52.603mm","T","360","Res"
"R103","R1206","33.706mm","55.905mm","33.706mm","55.905mm","35.196mm","55.905mm","T","180","Res"
"U101","TPS560430-SOT23-6","32.309mm","48.666mm","32.309mm","48.666mm","33.259mm","50.041mm","T","270","TPS560430"
"C201","C1210","39.014mm","48.616mm","39.014mm","48.616mm","39.014mm","50.091mm","T","270","Cap"
"C202","C0603","38.354mm","44.298mm","38.354mm","44.298mm","38.354mm","43.528mm","T","90","Cap"
"C203","C0603","45.771mm","49.022mm","45.771mm","49.039mm","45.771mm","48.269mm","T","90","Cap"
"C204","C0603","39.116mm","56.007mm","39.106mm","56.01mm","38.336mm","56.01mm","T","360","Cap"
"C205","C1210","44.298mm","52.578mm","44.298mm","52.578mm","42.823mm","52.578mm","T","360","Cap"
"L201","L06063","43.688mm","42.316mm","43.688mm","42.316mm","40.688mm","42.316mm","T","360","Inductor Iron"
"P1","HDR2X12","21.387mm","52.273mm","20.117mm","66.243mm","20.117mm","66.243mm","T","360","Header 12X2"
"P2","HDR2X12","74.727mm","52.273mm","73.457mm","66.243mm","73.457mm","66.243mm","T","360","Header 12X2"
"R201","R0603","39.116mm","54.229mm","39.106mm","54.232mm","39.876mm","54.232mm","T","180","Res"
"R202","R0603","39.116mm","52.451mm","39.106mm","52.454mm","38.336mm","52.454mm","T","360","Res"
"R203","R1206","44.298mm","55.626mm","44.298mm","55.626mm","45.788mm","55.626mm","T","180","Res"
"U201","TPS560430-SOT23-6","42.926mm","48.514mm","42.916mm","48.517mm","43.866mm","49.892mm","T","270","TPS560430"
"C301","C1210","56.439mm","47.523mm","56.439mm","47.523mm","56.439mm","46.048mm","T","90","Cap"
"C302","C0603","57.455mm","51.714mm","57.455mm","51.714mm","57.455mm","52.484mm","T","270","Cap"
"C303","C0603","49.581mm","47.015mm","49.581mm","47.015mm","49.581mm","47.785mm","T","270","Cap"
"C304","C0603","56.312mm","40.03mm","56.312mm","40.03mm","57.082mm","40.03mm","T","180","Cap"
"C305","C1210","50.978mm","43.205mm","50.978mm","43.205mm","52.453mm","43.205mm","T","180","Cap"
"L301","L06063","52.273mm","53.848mm","52.273mm","53.848mm","55.273mm","53.848mm","T","180","Inductor Iron"
"R301","R0603","56.312mm","41.808mm","56.312mm","41.808mm","55.542mm","41.808mm","T","360","Res"
"R302","R0603","56.312mm","43.586mm","56.312mm","43.586mm","57.082mm","43.586mm","T","180","Res"
"R303","R1206","50.978mm","39.903mm","50.978mm","39.903mm","49.488mm","39.903mm","T","360","Res"
"U301","TPS560430-SOT23-6","52.502mm","47.523mm","52.502mm","47.523mm","51.552mm","46.148mm","T","90","TPS560430"
"C401","C1210","67.615mm","48.158mm","67.615mm","48.158mm","66.14mm","48.158mm","T","360","Cap"
"C402","C0603","69.139mm","44.348mm","69.139mm","44.348mm","69.139mm","43.578mm","T","90","Cap"
"C403","C0603","69.139mm","40.538mm","69.139mm","40.538mm","69.139mm","39.768mm","T","90","Cap"
"C404","C1210","61.392mm","44.348mm","61.392mm","44.348mm","62.867mm","44.348mm","T","180","Cap"
"D401","DIODE-SMAF","61.9mm","48.285mm","61.9mm","48.285mm","63.9mm","48.285mm","T","360","Diode"
"L401","L06063","65.659mm","53.873mm","65.662mm","53.873mm","68.662mm","53.873mm","T","180","Inductor Iron"
"R401","R0603","67.361mm","40.538mm","67.361mm","40.538mm","67.361mm","41.308mm","T","270","Res"
"R402","R0603","65.583mm","40.538mm","65.583mm","40.538mm","65.583mm","39.768mm","T","90","Res"
"R404","R1206","59.614mm","52.426mm","59.614mm","52.442mm","59.614mm","50.952mm","T","90","Res"
"U401","LMR62014-SOT23-5","66.091mm","44.348mm","66.091mm","44.348mm","64.716mm","45.298mm","T","360","LMR62014"
"R403","R1210","61.392mm","40.665mm","61.392mm","40.665mm","62.867mm","40.665mm","T","180","Res"
"C501","C1210","28.804mm","59.842mm","28.804mm","59.842mm","27.329mm","59.842mm","T","360","Cap"
"C502","C0603","33.477mm","64.973mm","33.477mm","64.973mm","32.707mm","64.973mm","T","360","Cap"
"C503","C1210","28.804mm","64.16mm","28.804mm","64.16mm","27.329mm","64.16mm","T","360","Cap"
"R501","R0603","33.477mm","63.195mm","33.477mm","63.195mm","34.247mm","63.195mm","T","180","Res"
"R502","R0603","36.144mm","60.604mm","36.144mm","60.604mm","36.144mm","59.834mm","T","90","Res"
"R503","R0603","36.144mm","64.11mm","36.144mm","64.11mm","36.144mm","64.88mm","T","270","Res"
"U501","ADP7118-TSOT5","33.477mm","60.096mm","33.477mm","60.096mm","32.527mm","58.771mm","T","90","ADP7118"
"C601","C1210","39.98mm","59.792mm","39.98mm","59.792mm","38.505mm","59.792mm","T","360","Cap"
"C602","C0603","44.628mm","64.922mm","44.628mm","64.922mm","43.858mm","64.922mm","T","360","Cap"
"C603","C1210","39.98mm","64.16mm","39.98mm","64.16mm","38.505mm","64.16mm","T","360","Cap"
"R601","R0603","44.628mm","63.144mm","44.628mm","63.144mm","45.398mm","63.144mm","T","180","Res"
"R602","R0603","47.295mm","60.604mm","47.295mm","60.596mm","47.295mm","59.826mm","T","90","Res"
"R603","R0603","47.295mm","64.033mm","47.295mm","64.033mm","47.295mm","64.803mm","T","270","Res"
"U601","ADP7118-TSOT5","44.628mm","60.096mm","44.628mm","60.096mm","43.678mm","58.771mm","T","90","ADP7118"
"C701","C1210","50.851mm","59.741mm","50.849mm","59.741mm","49.374mm","59.741mm","T","360","Cap"
"C702","C0603","55.55mm","65.049mm","55.55mm","65.049mm","54.78mm","65.049mm","T","360","Cap"
"C703","C1210","50.851mm","64.16mm","50.851mm","64.16mm","49.376mm","64.16mm","T","360","Cap"
"C801","C1210","61.773mm","59.944mm","61.773mm","59.944mm","60.298mm","59.944mm","T","360","Cap"
"C802","C0603","66.446mm","65.202mm","66.438mm","65.202mm","65.668mm","65.202mm","T","360","Cap"
"C803","C1210","61.773mm","64.313mm","61.771mm","64.313mm","60.296mm","64.313mm","T","360","Cap"
"R701","R0603","55.55mm","63.271mm","55.55mm","63.271mm","56.32mm","63.271mm","T","180","Res"
"R702","R0603","58.217mm","60.604mm","58.217mm","60.596mm","58.217mm","59.826mm","T","90","Res"
"R703","R0603","58.217mm","64.059mm","58.217mm","64.041mm","58.217mm","64.811mm","T","270","Res"
"R801","R0603","66.446mm","63.424mm","66.438mm","63.424mm","67.208mm","63.424mm","T","180","Res"
"R802","R0603","69.113mm","60.757mm","69.113mm","60.749mm","69.113mm","59.979mm","T","90","Res"
"R803","R0603","69.113mm","64.211mm","69.113mm","64.194mm","69.113mm","64.964mm","T","270","Res"
"U701","ADP7182-TSOT5","55.55mm","60.096mm","55.55mm","60.096mm","54.6mm","58.771mm","T","90","ADP7182"
"U801","ADP7118-TSOT5","66.446mm","60.249mm","66.446mm","60.249mm","65.496mm","58.924mm","T","90","ADP7118"
"D1","LED0603","26.721mm","35.814mm","26.721mm","35.814mm","27.491mm","35.814mm","T","180","LED"
"D101","LED0603","30.734mm","35.865mm","30.734mm","35.865mm","31.504mm","35.865mm","T","180","LED"
"D201","LED0603","34.747mm","35.865mm","34.747mm","35.865mm","35.517mm","35.865mm","T","180","LED"
"D301","LED0603","62.281mm","35.865mm","62.281mm","35.865mm","61.511mm","35.865mm","T","360","LED"
"D402","LED0603","66.853mm","35.865mm","66.853mm","35.865mm","66.083mm","35.865mm","T","360","LED"
"R1","R0603","26.721mm","37.49mm","26.721mm","37.49mm","25.951mm","37.49mm","T","360","Res"
"R104","R0603","30.734mm","37.541mm","30.734mm","37.541mm","31.504mm","37.541mm","T","180","Res"
"R204","R0603","34.747mm","37.541mm","34.747mm","37.541mm","33.977mm","37.541mm","T","360","Res"
"R304","R0603","62.281mm","37.541mm","62.273mm","37.541mm","61.503mm","37.541mm","T","360","Res"
"R405","R0603","66.853mm","37.541mm","66.853mm","37.541mm","67.623mm","37.541mm","T","180","Res"
"D501","LED0603","28.042mm","68.732mm","28.042mm","68.732mm","28.812mm","68.732mm","T","180","LED"
"D601","LED0603","33.376mm","68.732mm","33.376mm","68.732mm","34.146mm","68.732mm","T","180","LED"
"D701","LED0603","63.246mm","68.732mm","63.246mm","68.732mm","62.476mm","68.732mm","T","360","LED"
"D801","LED0603","68.58mm","68.732mm","68.58mm","68.732mm","67.81mm","68.732mm","T","360","LED"
"R504","R0603","28.042mm","67.208mm","28.042mm","67.208mm","27.272mm","67.208mm","T","360","Res"
"R604","R0603","33.376mm","67.208mm","33.376mm","67.208mm","32.606mm","67.208mm","T","360","Res"
"R704","R0603","63.246mm","67.208mm","63.246mm","67.208mm","62.476mm","67.208mm","T","360","Res"
"R804","R0603","68.58mm","67.208mm","68.58mm","67.208mm","69.35mm","67.208mm","T","180","Res"
